Age,Total,Male,Female
All Ages,26873066,13030795,13842271
00-04 Yrs.,2734839,1401655,1333183
05-09 Yrs.,2962543,1513538,1449005
10-14 Yrs.,3320242,1690160,1630082
15-19 Yrs.,3159436,1571646,1587790
20-24 Yrs.,2504610,1139534,1365076
25-29 Yrs.,2089747,906859,1182888
30-34 Yrs.,1820998,808372,1012626
35-39 Yrs.,1592319,723627,868692
40-44 Yrs.,1402215,663161,739055
45-49 Yrs.,1216788,591395,625393
50-54 Yrs.,1012808,505841,506967
55-59 Yrs.,853187,430471,422716
60-64 Yrs.,724984,358094,366889
65-69 Yrs.,597868,292583,305286
70-74 Yrs.,490595,240176,250419
75-79 Yrs.,238695,119459,119237
80+ Yrs.,151191,74224,76967
