Age,Total,Male,Female
All Ages,30378055,14734201,15643853
00-04 Yrs.,3034615,1575174,1459441
05-09 Yrs.,2929396,1515051,1414346
10-14 Yrs.,2666176,1364270,1301906
15-19 Yrs.,3042838,1549116,1493723
20-24 Yrs.,3273395,1646148,1627247
25-29 Yrs.,2968344,1437092,1531252
30-34 Yrs.,2295206,1002200,1293007
35-39 Yrs.,1959793,835668,1124125
40-44 Yrs.,1704217,749759,954458
45-49 Yrs.,1482726,668244,814481
50-54 Yrs.,1287085,604753,682332
55-59 Yrs.,1082006,518686,563320
60-64 Yrs.,859487,420366,439121
65-69 Yrs.,679539,330597,348942
70-74 Yrs.,514018,241518,272499
75-79 Yrs.,346493,160174,186318
80+ Yrs.,252721,115385,137335
