Age,Total,Male,Female
All Ages,28431494,13784009,14647486
00-04 Yrs.,2950167,1525630,1424537
05-09 Yrs.,2674278,1368495,1305783
10-14 Yrs.,3062865,1564080,1498784
15-19 Yrs.,3317315,1680525,1636790
20-24 Yrs.,3021919,1476611,1545309
25-29 Yrs.,2340931,1033222,1307709
30-34 Yrs.,1998816,860512,1138303
35-39 Yrs.,1740784,771970,968815
40-44 Yrs.,1521989,691192,830797
45-49 Yrs.,1334086,632128,701958
50-54 Yrs.,1140179,552834,587346
55-59 Yrs.,930950,462675,468275
60-64 Yrs.,770098,382738,387360
65-69 Yrs.,627821,303255,324567
70-74 Yrs.,482949,231131,251818
75-79 Yrs.,339914,162123,177791
80+ Yrs.,176432,84889,91543
