Age,Total,Male,Female
All Ages,28037904,13593069,14444835
00-04 Yrs.,2887862,1490008,1397854
05-09 Yrs.,2723597,1393169,1330429
10-14 Yrs.,3138181,1602105,1536075
15-19 Yrs.,3312519,1673245,1639274
20-24 Yrs.,2907704,1401695,1506008
25-29 Yrs.,2252613,982079,1270534
30-34 Yrs.,1952824,845387,1107437
35-39 Yrs.,1701884,760209,941676
40-44 Yrs.,1490354,682940,807414
45-49 Yrs.,1305186,623270,681916
50-54 Yrs.,1108406,541135,567270
55-59 Yrs.,907400,453414,453986
60-64 Yrs.,757069,376109,380960
65-69 Yrs.,619371,299479,319891
70-74 Yrs.,483713,232692,251021
75-79 Yrs.,327881,157767,170114
80+ Yrs.,161343,78366,82977
