Age,Total,Male,Female
All Ages,31471213,15270627,16200585
00-04 Yrs.,2983288,1552387,1430900
05-09 Yrs.,3004257,1556979,1447279
10-14 Yrs.,2800422,1441909,1358513
15-19 Yrs.,2760944,1406904,1354040
20-24 Yrs.,3147615,1589493,1558122
25-29 Yrs.,3186478,1578550,1607928
30-34 Yrs.,2675445,1243676,1431769
35-39 Yrs.,2101355,891518,1209837
40-44 Yrs.,1832116,785193,1046923
45-49 Yrs.,1588063,702630,885434
50-54 Yrs.,1373692,625798,747894
55-59 Yrs.,1169911,551244,618667
60-64 Yrs.,944320,451765,492555
65-69 Yrs.,724151,349970,374181
70-74 Yrs.,540060,254977,285084
75-79 Yrs.,360792,164166,196626
80+ Yrs.,278303,123469,154835
