Age,Total,Male,Female
All Ages,33597032,16313189,17283844
00-04 Yrs.,2632885,1378013,1254872
05-09 Yrs.,2893116,1507945,1385172
10-14 Yrs.,3011074,1562734,1448340
15-19 Yrs.,2906027,1498024,1408003
20-24 Yrs.,2614336,1321296,1293040
25-29 Yrs.,2956350,1480105,1476245
30-34 Yrs.,3176000,1574004,1601996
35-39 Yrs.,2880616,1376740,1503876
40-44 Yrs.,2220991,955115,1265876
45-49 Yrs.,1885055,791601,1093455
50-54 Yrs.,1617678,700312,917366
55-59 Yrs.,1374402,606719,767683
60-64 Yrs.,1145955,523080,622876
65-69 Yrs.,900809,414819,485990
70-74 Yrs.,638335,296264,342071
75-79 Yrs.,414140,188513,225627
80+ Yrs.,329263,137905,191359
