Age,Total,Male,Female
All Ages,29996478,14547267,15449211
00-04 Yrs.,3032941,1573028,1459913
05-09 Yrs.,2866434,1479231,1387203
10-14 Yrs.,2715023,1388700,1326324
15-19 Yrs.,3117370,1586778,1530592
20-24 Yrs.,3268133,1638672,1629462
25-29 Yrs.,2854418,1362572,1491846
30-34 Yrs.,2207023,951316,1255707
35-39 Yrs.,1913661,820497,1093164
40-44 Yrs.,1665219,737931,927287
45-49 Yrs.,1451059,659893,791165
50-54 Yrs.,1258343,595887,662457
55-59 Yrs.,1050946,507277,543669
60-64 Yrs.,836760,411499,425261
65-69 Yrs.,667112,324439,342673
70-74 Yrs.,506179,238089,268090
75-79 Yrs.,345942,160799,185144
80+ Yrs.,239915,110660,129255
