Age,Total,Male,Female
All Ages,32766483,15906454,16860029
00-04 Yrs.,2804749,1464328,1340421
05-09 Yrs.,2994315,1556821,1437494
10-14 Yrs.,2978758,1542447,1436311
15-19 Yrs.,2731894,1398942,1332952
20-24 Yrs.,2801555,1415205,1386351
25-29 Yrs.,3159162,1581088,1578073
30-34 Yrs.,3087532,1511411,1576121
35-39 Yrs.,2497726,1127894,1369833
40-44 Yrs.,2014130,846889,1167241
45-49 Yrs.,1748680,750352,998329
50-54 Yrs.,1504042,663260,840782
55-59 Yrs.,1283783,584342,699440
60-64 Yrs.,1062406,494988,567418
65-69 Yrs.,815440,384355,431085
70-74 Yrs.,587361,276678,310683
75-79 Yrs.,388194,176231,211963
80+ Yrs.,306757,131225,175532
