Age,Total,Male,Female
All Ages,32144921,15601443,16543478
00-04 Yrs.,2905831,1514591,1391240
05-09 Yrs.,3017353,1566220,1451132
10-14 Yrs.,2921917,1511015,1410902
15-19 Yrs.,2649430,1351036,1298395
20-24 Yrs.,3003253,1516949,1486304
25-29 Yrs.,3221407,1606795,1614613
30-34 Yrs.,2920849,1403917,1516932
35-39 Yrs.,2256514,977126,1279388
40-44 Yrs.,1923768,813877,1109891
45-49 Yrs.,1665091,727067,938025
50-54 Yrs.,1435540,641416,794123
55-59 Yrs.,1226752,569749,657003
60-64 Yrs.,1004940,473782,531158
65-69 Yrs.,764292,365578,398714
70-74 Yrs.,561693,265602,296090
75-79 Yrs.,374054,169440,204614
80+ Yrs.,292237,127285,164952
