Age,Total,Male,Female
All Ages,30752146,14917665,15834481
00-04 Yrs.,3027032,1572541,1454491
05-09 Yrs.,2960567,1532177,1428390
10-14 Yrs.,2703282,1386043,1317239
15-19 Yrs.,2932811,1493543,1439268
20-24 Yrs.,3253612,1639779,1613833
25-29 Yrs.,3061356,1497448,1563909
30-34 Yrs.,2406842,1070775,1336068
35-39 Yrs.,2004790,851467,1153323
40-44 Yrs.,1744886,761177,983709
45-49 Yrs.,1516144,678345,837800
50-54 Yrs.,1315802,612482,703320
55-59 Yrs.,1112023,529845,582177
60-64 Yrs.,885373,430171,455202
65-69 Yrs.,693071,336834,356237
70-74 Yrs.,522042,245462,276580
75-79 Yrs.,349754,160779,188975
80+ Yrs.,262759,118798,143961
