Age,Total,Male,Female
All Ages,29609623,14358034,15251589
00-04 Yrs.,3023043,1566673,1456370
05-09 Yrs.,2808095,1445984,1362111
10-14 Yrs.,2778797,1420725,1358072
15-19 Yrs.,3189113,1622674,1566439
20-24 Yrs.,3239650,1618337,1621313
25-29 Yrs.,2722428,1276094,1446334
30-34 Yrs.,2139933,916260,1223672
35-39 Yrs.,1868397,807137,1061260
40-44 Yrs.,1627263,725425,901838
45-49 Yrs.,1420854,652855,767998
50-54 Yrs.,1229600,586053,643547
55-59 Yrs.,1019115,495618,523497
60-64 Yrs.,816973,403540,413433
65-69 Yrs.,655903,318452,337451
70-74 Yrs.,498414,235106,263308
75-79 Yrs.,347968,162643,185325
80+ Yrs.,224079,104460,119619
