Age,Total,Male,Female
All Ages,28825709,13975678,14850032
00-04 Yrs.,2980653,1542483,1438170
05-09 Yrs.,2711219,1390205,1321013
10-14 Yrs.,2952014,1508085,1443929
15-19 Yrs.,3296863,1673848,1623015
20-24 Yrs.,3114997,1537195,1577802
25-29 Yrs.,2452896,1102188,1350708
30-34 Yrs.,2043660,876260,1167400
35-39 Yrs.,1781359,783305,998054
40-44 Yrs.,1555381,701219,854162
45-49 Yrs.,1362902,639792,723111
50-54 Yrs.,1170795,564249,606547
55-59 Yrs.,957825,472947,484878
60-64 Yrs.,784293,389441,394852
65-69 Yrs.,636431,307651,328780
70-74 Yrs.,485969,231379,254590
75-79 Yrs.,348687,165019,183668
80+ Yrs.,189765,90412,99353
