Age,Total,Male,Female
All Ages,27660775,13411039,14249736
00-04 Yrs.,2844948,1464570,1380378
05-09 Yrs.,2787937,1425486,1362451
10-14 Yrs.,3210778,1638361,1572417
15-19 Yrs.,3284283,1652997,1631287
20-24 Yrs.,2775231,1314668,1460563
25-29 Yrs.,2185571,946889,1238682
30-34 Yrs.,1907709,832082,1075627
35-39 Yrs.,1664021,747749,916272
40-44 Yrs.,1460178,676018,784160
45-49 Yrs.,1276230,613398,662832
50-54 Yrs.,1075765,529157,546608
55-59 Yrs.,886933,445126,441807
60-64 Yrs.,745335,369665,375670
65-69 Yrs.,610955,296240,314715
70-74 Yrs.,487964,235990,251974
75-79 Yrs.,306969,149273,157695
80+ Yrs.,149969,73370,76599
