Age,Total,Male,Female
All Ages,32104281,15589750,16514530
00-04 Yrs.,3119197,1624433,1494763
05-09 Yrs.,3109512,1612721,1496791
10-14 Yrs.,2883465,1487885,1395579
15-19 Yrs.,2697752,1375187,1322564
20-24 Yrs.,3076831,1554104,1522728
25-29 Yrs.,3215471,1599049,1616422
30-34 Yrs.,2807080,1329709,1477371
35-39 Yrs.,2168463,926472,1241991
40-44 Yrs.,1877499,798638,1078862
45-49 Yrs.,1626047,715177,910870
50-54 Yrs.,1403889,632966,770923
55-59 Yrs.,1198304,560950,637354
60-64 Yrs.,974964,462879,512085
65-69 Yrs.,742870,357366,385503
70-74 Yrs.,550346,260215,290131
75-79 Yrs.,367388,166636,200752
80+ Yrs.,285202,125362,159840
