Age,Total,Male,Female
All Ages,33533633,16296984,17236650
00-04 Yrs.,2976639,1555319,1421320
05-09 Yrs.,3123874,1625444,1498431
10-14 Yrs.,3076999,1594417,1482582
15-19 Yrs.,2798710,1436326,1362383
20-24 Yrs.,2724324,1376354,1347970
25-29 Yrs.,3098524,1551527,1546997
30-34 Yrs.,3139711,1545262,1594450
35-39 Yrs.,2635614,1217237,1418378
40-44 Yrs.,2065895,869868,1196027
45-49 Yrs.,1793195,762772,1030423
50-54 Yrs.,1540726,675852,864874
55-59 Yrs.,1312823,590970,721854
60-64 Yrs.,1090320,505084,585236
65-69 Yrs.,843849,394504,449345
70-74 Yrs.,602196,282607,319589
75-79 Yrs.,396085,180158,215926
80+ Yrs.,314147,133282,180865
