Age,Total,Male,Female
All Ages,33864043,16460587,17403457
00-04 Yrs.,2932891,1533723,1399168
05-09 Yrs.,3104639,1616762,1487877
10-14 Yrs.,3102741,1608970,1493771
15-19 Yrs.,2867370,1474830,1392540
20-24 Yrs.,2661938,1345070,1316869
25-29 Yrs.,3028842,1516700,1512141
30-34 Yrs.,3169306,1565960,1603346
35-39 Yrs.,2766944,1302830,1464113
40-44 Yrs.,2133057,904717,1228340
45-49 Yrs.,1838675,776301,1062373
50-54 Yrs.,1578659,688396,890263
55-59 Yrs.,1342895,598227,744668
60-64 Yrs.,1118074,514494,603580
65-69 Yrs.,872599,404744,467855
70-74 Yrs.,619082,289091,329991
75-79 Yrs.,404692,184277,220415
80+ Yrs.,321639,135494,186145
