Age,Total,Male,Female
All Ages,31330247,15207394,16122853
00-04 Yrs.,3150825,1638195,1512631
05-09 Yrs.,3051048,1580053,1470995
10-14 Yrs.,2755368,1415715,1339653
15-19 Yrs.,2839071,1446240,1392831
20-24 Yrs.,3209326,1619592,1589735
25-29 Yrs.,3134727,1544788,1589940
30-34 Yrs.,2537131,1153822,1383309
35-39 Yrs.,2049766,868549,1181217
40-44 Yrs.,1787680,772867,1014813
45-49 Yrs.,1551319,690026,861293
50-54 Yrs.,1344520,619273,725247
55-59 Yrs.,1141267,540780,600487
60-64 Yrs.,913995,440734,473261
65-69 Yrs.,707769,343221,364547
70-74 Yrs.,530681,249998,280684
75-79 Yrs.,354681,162150,192531
80+ Yrs.,271072,121393,149679
