Age,Total,Male,Female
All Ages,27264592,13219533,14045059
00-04 Yrs.,2786123,1431065,1355059
05-09 Yrs.,2867346,1465487,1401859
10-14 Yrs.,3274292,1669273,1605019
15-19 Yrs.,3232877,1619242,1613635
20-24 Yrs.,2635876,1223671,1412205
25-29 Yrs.,2134301,923883,1210419
30-34 Yrs.,1863530,819907,1043622
35-39 Yrs.,1627382,735215,892167
40-44 Yrs.,1431001,669745,761256
45-49 Yrs.,1246891,602671,644220
50-54 Yrs.,1043380,517244,526135
55-59 Yrs.,869121,437601,431520
60-64 Yrs.,734712,363575,371137
65-69 Yrs.,603369,293810,309559
70-74 Yrs.,492193,239401,252791
75-79 Yrs.,276954,136423,140532
80+ Yrs.,145244,71319,73924
