Age,Total,Male,Female
All Ages,32840509,15953903,16886606
00-04 Yrs.,3057106,1594731,1462375
05-09 Yrs.,3135584,1628866,1506718
10-14 Yrs.,3004323,1554608,1449715
15-19 Yrs.,2689068,1374082,1314985
20-24 Yrs.,2894308,1461969,1432339
25-29 Yrs.,3202462,1600801,1601661
30-34 Yrs.,3013917,1464108,1549810
35-39 Yrs.,2367851,1045327,1322524
40-44 Yrs.,1968942,829743,1139199
45-49 Yrs.,1705820,738568,967252
50-54 Yrs.,1468922,651569,817353
55-59 Yrs.,1255234,577481,677753
60-64 Yrs.,1034001,484477,549524
65-69 Yrs.,788611,374628,413983
70-74 Yrs.,574011,271069,302942
75-79 Yrs.,380885,172623,208262
80+ Yrs.,299464,129251,170212
