District,MALE,FEMALE
Taplejung,63769,71000
Panchthar,93810,109338
Illam,158285,169731
Jhapa,459087,537826
Morang,562484,612693
Sunsari,482241,519622
Dhankuta,80653,97187
Tehrathum,46296,55883
Sankhuwasabha,74684,82784
Bhojpur,70330,75906
Solukhumbu,50527,52100
Okhaldhunga,72017,83992
Khotang,75750,86207
Udayapur,170333,210520
Saptari,365767,392343
Siraha,345060,397300
Dhanusha,445384,454205
Mahottari,364418,397232
Sarlahi,498909,473453
Sindhuli,150446,166086
Ramechhap,99843,115720
Dolakha,86221,104472
Sindhupalchowk,145161,157817
Kavrepalanchowk,204367,215646
Lalitpur,336990,298161
Bhaktapur,217388,191084
Kathmandu,1347388,1174715
Nuwakot,141987,155635
Rasuwa,22212,24475
Dhading,170237,198998
Makawanpur,240824,249657
Rautahat,492414,443546
Bara,479992,434086
Parsa,422676,362246
Chitwan,366865,399597
Gorkha,97224,124674
Lamjung,79174,97797
Tanahun,156659,206619
Syangja,93072,122760
Kaski,319275,323908
Manang,3993,2371
Mustang,5628,5175
Myagdi,48675,57777
Parbat,67319,84680
Baglung,127353,168392
Gulmi,105975,143427
Palpa,106222,140280
Nawalparasi,358657,422828
Rupandehi,572340,605586
Kapilbastu,364445,364248
Arghakhanchi,86771,121418
Pyuthan,104895,143831
Rolpa,109800,138489
Rukum,107916,134371
Salyan,136043,155822
Dang,324393,382465
Banke,333999,340818
Bardiya,240343,273989
Surkhet,227306,237790
Dailekha,161832,159151
Jajarkot,110154,105498
Dolpa,23862,22093
Jumla,69878,65699
Kalikot,91311,82331
Mugu,37057,32514
Humla,33181,30660
Bajura,84569,83992
Bajhang,116949,122365
Aachham,148801,159248
Doti,88899,128933
Kailali,506649,544333
Kanchanpur,263513,318521
Dadeldhura,79132,89490
Baitadi,129861,148753
Darchula,73503,79119
