District,MALE,FEMALE
Taplejung,62015,68977
Panchthar,91689,105751
Illam,151901,162300
Jhapa,436797,502694
Morang,532097,576557
Sunsari,449583,481853
Dhankuta,78778,93063
Tehrathum,45894,54601
Sankhuwasabha,73563,81729
Bhojpur,72643,79573
Solukhumbu,49728,51998
Okhaldhunga,70129,81633
Khotang,79442,90188
Udayapur,164376,196329
Saptari,348788,370212
Siraha,335910,375236
Dhanusha,423481,428616
Mahottari,348280,370901
Sarlahi,464317,445574
Sindhuli,148885,163563
Ramechhap,96659,112589
Dolakha,85376,101495
Sindhupalchowk,141258,153478
Kavrepalanchowk,195590,208959
Lalitpur,306207,279775
Bhaktapur,197737,179923
Kathmandu,1219538,1081352
Nuwakot,137588,150740
Rasuwa,21818,23382
Dhading,165076,190899
Makawanpur,229001,237611
Rautahat,449193,413800
Bara,440049,406723
Parsa,387666,341625
Chitwan,340970,370659
Gorkha,107225,136047
Lamjung,77270,94888
Tanahun,151798,196926
Syangja,106466,139849
Kaski,293247,304741
Manang,3804,2480
Mustang,5878,5362
Myagdi,50248,60171
Parbat,65821,82627
Baglung,123549,161570
Gulmi,107919,144812
Palpa,107113,139093
Nawalparasi,341838,396130
Rupandehi,531671,559363
Kapilbastu,340112,340872
Arghakhanchi,85877,116879
Pyuthan,104220,139596
Rolpa,107135,132010
Rukum,105359,125656
Salyan,129778,146282
Dang,306187,354555
Banke,308048,313873
Bardiya,229428,256906
Surkhet,207480,219193
Dailekha,150179,151906
Jajarkot,102242,99671
Dolpa,22009,21049
Jumla,65007,62207
Kalikot,83965,78312
Mugu,34072,31030
Humla,30810,28990
Bajura,78472,79606
Bajhang,108970,116334
Aachham,138948,152520
Doti,91146,122319
Kailali,469848,501472
Kanchanpur,249012,290107
Dadeldhura,75167,85259
Baitadi,124947,142985
Darchula,69914,75847
