District,MALE,FEMALE
Taplejung,60552,66909
Panchthar,90186,101631
Illam,141126,149128
Jhapa,385096,427554
Morang,466712,498658
Sunsari,371229,392258
Dhankuta,76515,86897
Tehrathum,47151,54426
Sankhuwasabha,75225,83517
Bhojpur,86053,96406
Solukhumbu,51200,54686
Okhaldhunga,68687,79297
Khotang,97092,109220
Udayapur,149712,167820
Saptari,313846,325438
Siraha,310101,327227
Dhanusha,378538,376239
Mahottari,311016,316564
Sarlahi,389756,379973
Sindhuli,142123,154069
Ramechhap,93386,109260
Dolakha,87003,99554
Sindhupalchowk,138351,149447
Kavrepalanchowk,182936,199001
Lalitpur,238082,230050
Bhaktapur,154884,149767
Kathmandu,913001,831239
Nuwakot,132787,144684
Rasuwa,21475,21825
Dhading,157834,178233
Makawanpur,206684,213793
Rautahat,351079,335643
Bara,351244,336464
Parsa,312358,288659
Chitwan,279087,300897
Gorkha,121041,150020
Lamjung,75913,91811
Tanahun,143410,179878
Syangja,125833,163315
Kaski,236385,255713
Manang,3661,2877
Mustang,7093,6359
Myagdi,51395,62246
Parbat,65301,81289
Baglung,117997,150616
Gulmi,120995,159165
Palpa,115840,145340
Nawalparasi,303675,339833
Rupandehi,432193,448003
Kapilbastu,285599,286337
Arghakhanchi,86266,111366
Pyuthan,100053,128049
Rolpa,103100,121406
Rukum,99159,109408
Salyan,115969,126475
Dang,261059,291524
Banke,244255,247058
Bardiya,205080,221496
Surkhet,169421,181383
Dailekha,126990,134780
Jajarkot,85537,85767
Dolpa,18238,18462
Jumla,54898,54023
Kalikot,68833,68115
Mugu,28025,27261
Humla,25833,25025
Bajura,65806,69106
Bajhang,92794,102365
Aachham,120008,137469
Doti,97252,114494
Kailali,378417,397292
Kanchanpur,216042,235206
Dadeldhura,66556,75538
Baitadi,117407,133491
Darchula,63605,69669
