District,MALE,FEMALE
Taplejung,64684,72140
Panchthar,94630,111601
Illam,162808,175323
Jhapa,475800,568618
Morang,586970,643267
Sunsari,510514,553501
Dhankuta,81351,100232
Tehrathum,45982,56418
Sankhuwasabha,74728,82668
Bhojpur,66555,70747
Solukhumbu,50597,51420
Okhaldhunga,72949,85303
Khotang,70456,80432
Udayapur,173720,223146
Saptari,378481,410828
Siraha,348992,415739
Dhanusha,462324,475557
Mahottari,375821,420484
Sarlahi,529667,496905
Sindhuli,149755,166258
Ramechhap,101794,117395
Dolakha,85724,106121
Sindhupalchowk,147157,160159
Kavrepalanchowk,210895,219713
Lalitpur,366466,313691
Bhaktapur,236188,200365
Kathmandu,1469787,1259269
Nuwakot,144582,158626
Rasuwa,22259,25313
Dhading,173143,204873
Makawanpur,250081,259115
Rautahat,533312,469356
Bara,517351,457464
Parsa,455464,379304
Chitwan,389630,425486
Gorkha,84748,109980
Lamjung,79997,99490
Tanahun,159399,214152
Syangja,76855,101860
Kaski,343537,339976
Manang,3978,2559
Mustang,5261,4879
Myagdi,46125,54260
Parbat,67901,85636
Baglung,129468,173328
Gulmi,102166,139613
Palpa,103540,139345
Nawalparasi,371095,445986
Rupandehi,607988,647553
Kapilbastu,385674,384481
Arghakhanchi,86277,124548
Pyuthan,103895,146247
Rolpa,110864,143525
Rukum,108653,142070
Salyan,140649,164020
Dang,338861,407658
Banke,357398,365429
Bardiya,248276,288762
Surkhet,245858,254626
Dailekha,172379,164673
Jajarkot,117280,110279
Dolpa,25577,22900
Jumla,74235,68533
Kalikot,98156,85483
Mugu,39838,33651
Humla,35315,32025
Bajura,90080,87532
Bajhang,124055,127111
Aachham,157514,164220
Doti,84542,134342
Kailali,539044,583533
Kanchanpur,274274,345623
Dadeldhura,82275,92785
Baitadi,133214,152827
Darchula,76331,81507
